Membership No  Date Joined  Active  
    41034      2016-8-12    no    
    87365      2018-8-10    no    
    18276      2015-5-13    no    
Membership No  Date Joined  Active  
    12384      2020-10-12   no    
    12384      2020-10-12   no    
    80093      2018-4-4     no    
    48556      2019-8-5     no    
    13430      2019-11-10   no    
    13306      2018-8-20    no    
    58776      2020-6-16    no    
    36933      2019-12-16   no    
    33129      2018-3-15    no    
    88533      2018-3-13    no    
    88227      2016-10-23   no    
    75391      2019-6-14    no    
    83739      2020-10-3    no    
